run_a,run_b,run_a_topics,run_b_topics,shared_topics,run_a_only_topics,run_b_only_topics
aus-agent-azure-luna,aus-agent-azure-sol,2,2,2,0,0
aus-agent-azure-luna,aus-agent-azure-terra,2,2,2,0,0
aus-agent-azure-luna,aus-agent-creative-check,2,10,0,2,10
aus-agent-azure-luna,aus-agent-dev-full,2,30,0,2,30
aus-agent-azure-luna,aus-agent-discovery-check,2,1,1,1,0
aus-agent-azure-luna,aus-agent-luna-cap10,2,1,0,2,1
aus-agent-azure-luna,aus-agent-luna-dev,2,5,0,2,5
aus-agent-azure-luna,aus-agent-luna-dev2,2,3,0,2,3
aus-agent-azure-luna,aus-agent-luna-dev3,2,3,0,2,3
aus-agent-azure-luna,aus-agent-luna-dev4,2,6,0,2,6
aus-agent-azure-luna,aus-agent-math-check,2,1,1,1,0
aus-agent-azure-luna,aus-agent-opus-check,2,1,1,1,0
aus-agent-azure-luna,aus-agent-qterm-check,2,1,1,1,0
aus-agent-azure-luna,aus-agent-recon-check,2,1,1,1,0
aus-agent-azure-luna,aus-agent-sat-go,2,30,0,2,30
aus-agent-azure-luna,aus-agent-terra-check,2,1,1,1,0
aus-agent-azure-luna,aus-agent-test-full,2,47,1,1,46
aus-agent-azure-luna,aus-agent-test-v2,2,80,2,0,78
aus-agent-azure-luna,test-ase-api-server-run-1,2,1,1,1,0
aus-agent-azure-luna,test-ase-api-server-run,2,1,1,1,0
aus-agent-azure-sol,aus-agent-azure-terra,2,2,2,0,0
aus-agent-azure-sol,aus-agent-creative-check,2,10,0,2,10
aus-agent-azure-sol,aus-agent-dev-full,2,30,0,2,30
aus-agent-azure-sol,aus-agent-discovery-check,2,1,1,1,0
aus-agent-azure-sol,aus-agent-luna-cap10,2,1,0,2,1
aus-agent-azure-sol,aus-agent-luna-dev,2,5,0,2,5
aus-agent-azure-sol,aus-agent-luna-dev2,2,3,0,2,3
aus-agent-azure-sol,aus-agent-luna-dev3,2,3,0,2,3
aus-agent-azure-sol,aus-agent-luna-dev4,2,6,0,2,6
aus-agent-azure-sol,aus-agent-math-check,2,1,1,1,0
aus-agent-azure-sol,aus-agent-opus-check,2,1,1,1,0
aus-agent-azure-sol,aus-agent-qterm-check,2,1,1,1,0
aus-agent-azure-sol,aus-agent-recon-check,2,1,1,1,0
aus-agent-azure-sol,aus-agent-sat-go,2,30,0,2,30
aus-agent-azure-sol,aus-agent-terra-check,2,1,1,1,0
aus-agent-azure-sol,aus-agent-test-full,2,47,1,1,46
aus-agent-azure-sol,aus-agent-test-v2,2,80,2,0,78
aus-agent-azure-sol,test-ase-api-server-run-1,2,1,1,1,0
aus-agent-azure-sol,test-ase-api-server-run,2,1,1,1,0
aus-agent-azure-terra,aus-agent-creative-check,2,10,0,2,10
aus-agent-azure-terra,aus-agent-dev-full,2,30,0,2,30
aus-agent-azure-terra,aus-agent-discovery-check,2,1,1,1,0
aus-agent-azure-terra,aus-agent-luna-cap10,2,1,0,2,1
aus-agent-azure-terra,aus-agent-luna-dev,2,5,0,2,5
aus-agent-azure-terra,aus-agent-luna-dev2,2,3,0,2,3
aus-agent-azure-terra,aus-agent-luna-dev3,2,3,0,2,3
aus-agent-azure-terra,aus-agent-luna-dev4,2,6,0,2,6
aus-agent-azure-terra,aus-agent-math-check,2,1,1,1,0
aus-agent-azure-terra,aus-agent-opus-check,2,1,1,1,0
aus-agent-azure-terra,aus-agent-qterm-check,2,1,1,1,0
aus-agent-azure-terra,aus-agent-recon-check,2,1,1,1,0
aus-agent-azure-terra,aus-agent-sat-go,2,30,0,2,30
aus-agent-azure-terra,aus-agent-terra-check,2,1,1,1,0
aus-agent-azure-terra,aus-agent-test-full,2,47,1,1,46
aus-agent-azure-terra,aus-agent-test-v2,2,80,2,0,78
aus-agent-azure-terra,test-ase-api-server-run-1,2,1,1,1,0
aus-agent-azure-terra,test-ase-api-server-run,2,1,1,1,0
aus-agent-creative-check,aus-agent-dev-full,10,30,10,0,20
aus-agent-creative-check,aus-agent-discovery-check,10,1,0,10,1
aus-agent-creative-check,aus-agent-luna-cap10,10,1,0,10,1
aus-agent-creative-check,aus-agent-luna-dev,10,5,2,8,3
aus-agent-creative-check,aus-agent-luna-dev2,10,3,1,9,2
aus-agent-creative-check,aus-agent-luna-dev3,10,3,1,9,2
aus-agent-creative-check,aus-agent-luna-dev4,10,6,2,8,4
aus-agent-creative-check,aus-agent-math-check,10,1,0,10,1
aus-agent-creative-check,aus-agent-opus-check,10,1,0,10,1
aus-agent-creative-check,aus-agent-qterm-check,10,1,0,10,1
aus-agent-creative-check,aus-agent-recon-check,10,1,0,10,1
aus-agent-creative-check,aus-agent-sat-go,10,30,10,0,20
aus-agent-creative-check,aus-agent-terra-check,10,1,0,10,1
aus-agent-creative-check,aus-agent-test-full,10,47,0,10,47
aus-agent-creative-check,aus-agent-test-v2,10,80,0,10,80
aus-agent-creative-check,test-ase-api-server-run-1,10,1,0,10,1
aus-agent-creative-check,test-ase-api-server-run,10,1,0,10,1
aus-agent-dev-full,aus-agent-discovery-check,30,1,0,30,1
aus-agent-dev-full,aus-agent-luna-cap10,30,1,1,29,0
aus-agent-dev-full,aus-agent-luna-dev,30,5,5,25,0
aus-agent-dev-full,aus-agent-luna-dev2,30,3,3,27,0
aus-agent-dev-full,aus-agent-luna-dev3,30,3,3,27,0
aus-agent-dev-full,aus-agent-luna-dev4,30,6,6,24,0
aus-agent-dev-full,aus-agent-math-check,30,1,0,30,1
aus-agent-dev-full,aus-agent-opus-check,30,1,0,30,1
