rank,run_id,arena_score,n_judgments,wins,losses,ties
1,aus-agent-opus-check,4451.494293,11,11,0,0
2,aus-agent-qterm-check,1344.261126,11,9,2,0
3,aus-agent-luna-cap10,1312.193478,4,3,0,1
4,aus-agent-azure-sol,1204.137041,15,11,4,0
5,aus-agent-math-check,1062.49724,11,6,4,1
6,aus-agent-test-full,1049.454602,50,30,19,1
7,aus-agent-luna-dev2,1034.521676,15,9,6,0
8,aus-agent-azure-luna,1025.163557,15,8,7,0
9,aus-agent-luna-dev,1004.744844,21,11,9,1
10,aus-agent-luna-dev3,994.51475,15,8,7,0
11,aus-agent-dev-full,977.571102,58,31,26,1
12,aus-agent-sat-go,969.339102,58,30,27,1
13,aus-agent-test-v2,966.182903,61,24,36,1
14,aus-agent-azure-terra,943.988107,15,6,8,1
15,aus-agent-luna-dev4,940.301258,25,11,14,0
16,aus-agent-discovery-check,849.139393,11,4,7,0
17,aus-agent-recon-check,849.139393,11,4,7,0
18,aus-agent-terra-check,849.139393,11,4,7,0
19,aus-agent-creative-check,766.81379,26,6,20,0
20,test-ase-api-server-run-1,754.212829,11,3,8,0
21,test-ase-api-server-run,-2348.809876,11,0,11,0
