run_id,total,full_support,partial_support,no_support,judge_errors,full_support_rate,partial_or_full_rate
aus-agent-creative-check,229,72,135,17,5,0.314410,0.903930
aus-agent-dev-full,781,271,407,83,20,0.346991,0.868118
aus-agent-discovery-check,21,13,8,0,0,0.619048,1.000000
aus-agent-math-check,19,11,7,0,1,0.578947,0.947368
aus-agent-protocol-check,12,3,8,1,0,0.250000,0.916667
aus-agent-protocol-check-v2,11,0,10,1,0,0.000000,0.909091
aus-agent-protocol-check-v3,1,0,1,0,0,0.000000,1.000000
aus-agent-protocol-check-v4,1,0,1,0,0,0.000000,1.000000
aus-agent-protocol-check-v5,5,1,4,0,0,0.200000,1.000000
aus-agent-protocol-check-v6,1,0,1,0,0,0.000000,1.000000
aus-agent-test-full,1191,446,590,122,33,0.374475,0.869857
aus-agent-test-v2,1931,752,936,176,67,0.389436,0.874158
viewer-20260717T020657,15,5,6,2,2,0.333333,0.733333
viewer-20260717T020901,26,15,11,0,0,0.576923,1.000000
viewer-20260717T020923,2,2,0,0,0,1.000000,1.000000
