round	query_idx	elapsed_s	rss_mb	anon_mb	priv_dirty_mb
0	-1	0.0	501.4	495.9	495.9
1	200	5.4	3794.9	3789.1	3789.1
2	400	7.1	3936.5	3930.6	3930.6
3	600	8.5	4067.6	4061.7	4061.7
4	800	10.2	4221.9	4216.0	4216.0
5	1000	11.8	4412.5	4406.6	4406.6
6	1200	13.3	4566.2	4560.4	4560.4
7	1400	15.2	4735.5	4729.6	4729.6
8	1600	16.8	4863.5	4857.6	4857.6
9	1800	18.9	5016.6	5010.7	5010.7
10	2000	20.4	5169.5	5163.6	5163.6
11	2200	22.2	5326.1	5320.2	5320.2
12	2400	23.9	5475.2	5469.3	5469.3
13	2600	26.5	5607.2	5601.4	5601.4
14	2800	27.8	5728.1	5722.3	5722.3
15	3000	29.4	5855.2	5849.4	5849.4
16	3200	31.5	5985.8	5979.9	5979.9
17	3400	33.1	6117.0	6111.2	6111.2
18	3600	34.9	6248.2	6242.4	6242.4
19	3800	36.7	6359.2	6353.3	6353.3
20	4000	38.4	6473.0	6467.2	6467.2
21	4200	40.1	6601.7	6595.8	6595.8
22	4400	41.7	6722.0	6716.2	6716.2
23	4600	43.9	6851.9	6846.0	6846.0
24	4800	45.6	6950.1	6944.3	6944.3
25	5000	47.3	7040.3	7034.5	7034.5
26	5200	49.0	7184.7	7178.9	7178.9
27	5400	50.8	7335.6	7329.8	7329.8
28	5600	52.4	7477.7	7471.8	7471.8
29	5800	53.7	7601.6	7595.8	7595.8
30	6000	55.3	7711.6	7705.7	7705.7
31	6200	56.7	7810.3	7804.4	7804.4
32	6400	58.3	7959.6	7953.7	7953.7
33	6600	59.8	8087.8	8081.9	8081.9
34	6800	61.5	8197.1	8191.3	8191.3
35	7000	63.4	8302.4	8296.6	8296.6
36	7200	65.2	8410.4	8404.6	8404.6
37	7400	67.1	8510.9	8505.1	8505.1
38	7600	68.8	8632.3	8626.5	8626.5
39	7800	70.6	8727.8	8722.0	8722.0
40	8000	72.3	8853.2	8847.3	8847.3
41	8200	74.4	8974.5	8968.6	8968.6
42	8400	75.9	9064.8	9058.9	9058.9
43	8600	77.6	9183.7	9177.8	9177.8
44	8800	79.8	9303.5	9297.6	9297.6
45	9000	81.6	9395.8	9389.9	9389.9
46	9200	83.4	9498.4	9492.5	9492.5
47	9400	85.3	9611.8	9606.0	9606.0
48	9600	87.2	9731.8	9726.0	9726.0
49	9800	88.9	9839.1	9833.2	9833.2
50	10000	90.7	9965.5	9959.7	9959.7
51	10200	92.8	10086.1	10080.3	10080.3
52	10400	94.6	10184.2	10178.4	10178.4
53	10600	96.4	10281.1	10275.3	10275.3
54	10800	98.7	10403.8	10397.9	10397.9
55	11000	99.8	10495.0	10489.2	10489.2
56	11200	101.9	10569.7	10563.9	10563.9
57	11400	103.8	10674.9	10669.0	10669.0
58	11600	105.6	10749.4	10743.6	10743.6
59	11800	107.2	10842.0	10836.1	10836.1
60	12000	109.2	10957.1	10951.3	10951.3
61	12200	111.3	11085.3	11079.4	11079.4
62	12400	112.8	11166.3	11160.5	11160.5
63	12600	114.9	11301.4	11295.5	11295.5
64	12800	116.8	11389.0	11383.2	11383.2
65	13000	118.3	11476.0	11470.1	11470.1
66	13200	120.4	11575.7	11569.9	11569.9
67	13400	122.3	11674.2	11668.3	11668.3
68	13600	124.2	11755.4	11749.6	11749.6
69	13800	126.0	11856.3	11850.4	11850.4
70	14000	128.1	11983.4	11977.6	11977.6
71	14200	129.6	12077.6	12071.8	12071.8
72	14400	131.3	12191.3	12185.4	12185.4
73	14600	132.9	12274.4	12268.5	12268.5
74	14800	134.6	12364.4	12358.5	12358.5
75	15000	136.4	12454.8	12448.9	12448.9
76	15200	138.3	12561.6	12555.7	12555.7
77	15400	140.1	12653.7	12647.9	12647.9
78	15600	142.2	12737.0	12731.1	12731.1
79	15800	143.9	12811.6	12805.8	12805.8
80	16000	145.8	12882.7	12876.8	12876.8
