round	query_idx	elapsed_s	rss_mb	anon_mb	priv_dirty_mb
0	-1	0.0	501.4	495.9	495.9
1	200	58.0	1189.8	1184.1	1184.1
2	400	108.2	859.3	853.6	853.6
3	600	156.4	1189.8	1184.1	1184.1
4	800	204.3	1189.8	1184.1	1184.1
5	1000	252.2	859.4	853.7	853.7
6	1200	296.1	1189.9	1184.2	1184.2
7	1400	343.5	1189.9	1184.2	1184.2
8	1600	391.6	1189.9	1184.2	1184.2
9	1800	440.3	1189.9	1184.2	1184.2
10	2000	489.5	1189.9	1184.2	1184.2
11	2200	538.1	859.4	853.7	853.7
12	2400	587.8	1190.0	1184.2	1184.2
13	2600	639.0	1190.0	1184.2	1184.2
14	2800	688.1	859.6	853.8	853.8
15	3000	736.7	1190.1	1184.4	1184.4
16	3200	785.5	1190.1	1185.0	1185.0
17	3400	834.2	1190.1	1185.0	1185.0
18	3600	880.9	1190.1	1185.1	1185.1
19	3800	927.9	1190.1	1185.1	1185.1
20	4000	977.2	1190.1	1185.1	1185.1
